ID	geneID
HP_CARDIOVASCULAR_CALCIFICATION	Pcsk9
GOCC_CHROMAFFIN_GRANULE	Ctsl
GOCC_CHROMAFFIN_GRANULE	Chga
GOBP_RESPONSE_TO_CORTICOSTEROID	Apoa2
GOBP_RESPONSE_TO_CORTICOSTEROID	Mstn
GOBP_RESPONSE_TO_CORTICOSTEROID	Ghr
GOBP_RESPONSE_TO_CORTICOSTEROID	Col1a1
GOBP_RESPONSE_TO_CORTICOSTEROID	Scgb1a1
GOBP_RESPONSE_TO_CORTICOSTEROID	Pck1
GOBP_NEUTROPHIL_DEGRANULATION	Itgb2
GOBP_NEUTROPHIL_DEGRANULATION	Cd177
GOBP_PENTOSE_PHOSPHATE_SHUNT	Pgam1
GOBP_PENTOSE_PHOSPHATE_SHUNT	H6pd
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	S100a9
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	Vnn1
PIONTEK_PKD1_TARGETS_DN	Serpina1e
PIONTEK_PKD1_TARGETS_DN	Afp
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE	Apcs
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE	Mmp8
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE	Hamp
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE	S100a9
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE	Pla2g7
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE	Lbp
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE	Scgb1a1
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE	Ghrl
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE	Saa1
GOBP_ADP_METABOLIC_PROCESS	Pgam1
GOBP_ADP_METABOLIC_PROCESS	Aldoa
GOBP_ADP_METABOLIC_PROCESS	Pgam2
GOBP_ADP_METABOLIC_PROCESS	Pkm
GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE	S100a9
GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE	Lbp
HP_CALCIFICATION_OF_THE_AORTA	Apob
HP_CALCIFICATION_OF_THE_AORTA	Pcsk9
GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY	Nrp2
GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY	Kit
GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY	Igf2r
GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY	Tie1
GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY	Met
KRIEG_HYPOXIA_VIA_KDM3A	Il1rap
KRIEG_HYPOXIA_VIA_KDM3A	Nrp2
KRIEG_HYPOXIA_VIA_KDM3A	Ywhag
GOBP_GLUCOCORTICOID_METABOLIC_PROCESS	H6pd
GOBP_GLUCOCORTICOID_METABOLIC_PROCESS	Serpina6
GOBP_NUCLEOTIDE_PHOSPHORYLATION	Pgam1
GOBP_NUCLEOTIDE_PHOSPHORYLATION	Aldoa
GOBP_NUCLEOTIDE_PHOSPHORYLATION	Pgam2
GOBP_NUCLEOTIDE_PHOSPHORYLATION	Pkm
GOBP_GLUCOSE_6_PHOSPHATE_METABOLIC_PROCESS	Pgam1
GOBP_GLUCOSE_6_PHOSPHATE_METABOLIC_PROCESS	H6pd
HP_ABNORMAL_RENAL_VASCULAR_MORPHOLOGY	Apob
HP_ABNORMAL_RENAL_VASCULAR_MORPHOLOGY	Pcsk9
LINDSTEDT_DENDRITIC_CELL_MATURATION_D	Itgb2
LINDSTEDT_DENDRITIC_CELL_MATURATION_D	Cdh2
LINDSTEDT_DENDRITIC_CELL_MATURATION_D	F13a1
KEGG_PENTOSE_PHOSPHATE_PATHWAY	H6pd
KEGG_PENTOSE_PHOSPHATE_PATHWAY	Aldoa
GOBP_RIBONUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS	Pgam1
GOBP_RIBONUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS	Aldoa
GOBP_RIBONUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS	Pgam2
GOBP_RIBONUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS	Pkm
GOBP_RENAL_SYSTEM_VASCULATURE_DEVELOPMENT	Cd34
GOBP_RENAL_SYSTEM_VASCULATURE_DEVELOPMENT	Angpt1
HP_VASCULAR_CALCIFICATION	Apob
HP_VASCULAR_CALCIFICATION	Pcsk9
